Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
456,Robert Williams,C,22,BOS,19,1,14.2,1.7,2.6,0.673,0,0,,1.7,2.6,0.673,0.673,0.4,0.7,0.571,1.2,3.4,4.6,1.1,0.9,1.1,0.8,1.8,3.9
457,Nigel Williams-Goss,PG,25,UTA,7,0,3.1,0,0.7,0,0,0.1,0,0,0.6,0,0,0.3,0.3,1,0.1,0.1,0.3,0.3,0,0.1,0.1,0.1,0.3
458,D.J. Wilson,PF,23,MIL,14,0,11.8,2,4,0.5,0.8,2.5,0.314,1.2,1.5,0.81,0.598,0.1,0.1,1,0.4,1.9,2.2,0.8,0,0.1,0.5,1,4.9
459,Justise Winslow,SF,23,MIA,10,5,33.7,5,12.7,0.394,0.6,2.6,0.231,4.4,10.1,0.436,0.417,1.8,2.7,0.667,1.6,5.5,7.1,4.3,0.6,0.4,2.3,3.6,12.4
460,Christian Wood,PF,24,DET,25,0,15.8,3.4,5.6,0.619,0.6,1.4,0.429,2.8,4.2,0.683,0.673,1.7,2.8,0.614,1.3,3.7,5,0.6,0.3,0.8,1,1,9.2
461,Delon Wright,SG,27,DAL,24,2,20.5,2.8,5.7,0.493,0.6,1.6,0.368,2.2,4.1,0.541,0.544,1.3,1.5,0.833,0.8,2.6,3.3,3.3,1.3,0.3,0.7,1.2,7.4
462,Thaddeus Young,PF,31,CHI,28,0,21.8,3.7,8.9,0.414,1.1,3.2,0.333,2.6,5.7,0.459,0.474,0.6,1.1,0.563,1.5,2.8,4.3,1.8,1,0.3,1.6,1.8,9.1
463,Trae Young,PG,21,ATL,27,27,35.1,9.4,20.9,0.449,3.4,9.1,0.377,5.9,11.7,0.505,0.531,6.1,7.1,0.855,0.5,3.7,4.2,8.5,1.2,0.1,4.8,1.5,28.3
464,Cody Zeller,C,27,CHO,27,19,23.9,4.6,8.6,0.536,0.6,1.8,0.313,4.1,6.9,0.595,0.569,2,3,0.675,3,5,8,1.3,0.5,0.5,1.5,2.5,11.8
465,Ante ?i?i?,C,23,CLE,9,0,10.1,1.8,3.2,0.552,0,0,,1.8,3.2,0.552,0.552,0.6,0.7,0.833,0.8,1.8,2.6,0,0.2,0.2,0.1,1.1,4.1
466,Ivica Zubac,C,22,LAC,29,27,16.8,3.2,5.4,0.586,0,0.1,0,3.2,5.3,0.594,0.586,1.9,2.4,0.775,2.3,4.2,6.5,0.8,0.2,1,0.9,2.4,8.2
